Stat_ID,MONLOC_AB,DataLoggerLineName,Stat_DATE,ActivityIdentifier,ActivityMediaName,CharacteristicName,StatMEASURE,ResultMeasureUnitCode,DataType,UseForCalc,StatisticalBaseCode,TimeBasisName,NumResults,COMMENTS,CreatedDateTime,LastChangeDate,ActivityInTWQD
AF31248B-F756-477D-AC4E-F78B56F55150,HOHTH4,21119084,8/14/2021,HOHTH4_20210814_2021Sum_TS,Water,"Temperature, water",10.9047,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
AF326323-B13A-44ED-88AA-059B3343425E,HOHDO2,20742197,8/9/2022,HOHDO2_20220809_2022Sum_TS,Water,Dissolved oxygen (DO),10.39,mg/l,Calculated,1,Daily Maximum,1 Day,96,NULL,04:18.8,24:59.6,NULL
AF32DB94-9AE7-4E91-A914-C6DA6D958380,CHALATH1,21119069,7/4/2021,CHALATH1_20210704_2021Sum_TS,Water,"Temperature, water",14.3152,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF355FBA-60FB-4D0E-B62F-E5B2F8D3ACFA,ANDERTH1,21119075,9/13/2022,ANDERTH1_20220913_2022Sum_TS,Water,"Temperature, water",14.4332,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF3700E2-901D-4F4D-A92D-2B929AD55484,WPOLETH1,21337441,6/15/2022,WPOLETH1_20220615_2022Sum_TS,Water,"Temperature, water",9.558,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF37928D-A99B-4BC1-8CA5-ADADF5F53DA5,MCQUARYTH1,10699488,5/22/2022,MCQUARYTH1_20220522_2022Sum_TS,Water,"Temperature, water",10.271,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AF37A268-038F-4E10-A25B-AEB08BC068BC,SPLITTH1,20651394,5/15/2021,SPLITTH1_20210515_2021Sum_TS,Water,"Temperature, water",9.79237,deg C,Calculated,1,Mean,1 Day,96,NULL,43:39.0,24:59.6,43:13.5
AF37C1E5-DEB7-4828-B13A-14D25387B1B1,EFKALTH1,21119060,2/18/2022,EFKALTH1_20220218_2021Fall_TS,Water,"Temperature, water",6.84218,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF38E70A-A679-4B7F-9C08-1CFA2F9CE8D6,SIXMILETH1,10699431,9/30/2021,SIXMILETH1_20210930_2021Sum_TS,Water,"Temperature, water",12.1904,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
AF3906AC-D67E-4451-99D5-CDBFFB7049E2,FLETCHTH2,10560281,8/30/2021,FLETCHTH2_20210830_2021Sum_TS,Water,"Temperature, water",12.7287,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
AF3CE65A-9D46-4981-9AD9-87E0ECD5F6D3,HOHCRKTH1,20386529,7/1/2022,HOHCRKTH1_20220701_2022Sum_TS,Water,"Temperature, water",10.9031,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF3DA376-F9A1-4E47-9B9F-1A907E68471C,CANYOTH1,10699480,7/26/2021,CANYOTH1_20210726_2021Sum_TS,Water,"Temperature, water",12.292,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
AF3EF956-E5E0-4037-BC8A-8538E5CA1F92,WINFLDTH2,20651384,10/3/2021,WINFLDTH2_20211003_2021Sum_TS,Water,"Temperature, water",11.1084,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF400BE0-AB11-43BC-BCE5-C6FFD4C7EBC0,HOOTTH1,10699502,7/31/2021,HOOTTH1_20210731_2021Sum_TS,Water,"Temperature, water",11.977,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
AF4010A0-A8FC-49D2-8EF8-D19F8F6F8EBC,WFKALTH1,21119058,2/25/2022,WFKALTH1_20220225_2021Fall_TS,Water,"Temperature, water",4.89247,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
